,,,,,,,,,,,
,,,,,,,,,,,
,ID ,"Anti Pattern oder Architectural Smell (Schirgi und Brenner, 2021)","Abgeleitete Lösung nach (Schirgi und Brenner, 2021); auch eigene Lösung kann genannt werden","Bewertung IST-Architektur
(Anti Pattern vorhanden? Lösung ggf. vorhanden?)","Priorität für SOLL-Konzept
(MusCoW)","Aufwand für SOLL-Konzept
(h, m, g)",Implikationen für die spätere Implementierung,Notwendige Muster (Kapitel 4),Anmerkungen,Im PoC umgesetzt? (ja/teilweise/nein),Nachweis im PoC (Datei)
,1,Hard-Coded Endpoints,Einsatz einer Service Discovery oder eines gut konfigurierten DNS-Systems; Ports in Konfigurationsdatei.,"Vorhanden. GP-API spricht interne Komponenten über fest codierte IP-Adressen an (z.B. 100.2.33.255/products). Eine Service Registry wurde explizit als „nicht notwendig"" abgelehnt. Keine Lösung im IST.",Must,m,Service Registry (z.B. Eureka/Consul) aufsetzen; alle Aufrufer von IP auf Lookup umstellen; DNS-Strategie für Container-Umgebung; Auswirkungen auf Deployment- und Netzwerk-Konfiguration.,Service Discovery über Compose-DNS (Servicenamen statt IP-Adressen),Voraussetzung für #4 (Horizontal Scalability) und #16 (API Gateway).,ja,"analysis/docker-compose.yml (environment: DRIVETRAIN_URL=http://drivetrain:3003 …), analysis/apps/*/src/environment.ts"
,2,Shared Persistence,Eigene Datenbank pro Service; alternativ gemeinsame DB mit privaten Tabellen je Service oder eigenes Schema je Service.,"Vorhanden. Eine zentrale Datenbank auf Layer „Data Management"" wird von allen fachlichen Komponenten genutzt. Manufacturing-Team möchte konstruktionsspezifische Daten näher an sich halten — Wunsch geäußert, nicht umgesetzt.",Must,h,Datenmigration aus zentraler DB; Dual-Write-Phase; Synchronisation über Events/CDC; Umstellung von ACID auf eventual consistency; eigener Analyse-/BI-Service mit eigener Datenhaltung; neue Herausforderungen für Reporting.,Database per Service,Im Widerspruch zu Statement 6 (universales Datenmodell). Manufacturing-Team unterstützt diese Lösung explizit.,ja,analysis/apps/config/src/ConfigModule.ts (einzige TypeORM-Anbindung an configdb)
,3,Independent Deployment,"Jeder Service in eigenem Container (z.B. Docker), separat startbar und deploybar.","Nicht erfüllt. Die gesamte Application Logic läuft in einer einzigen VM-Instanz, intern aus Java-Packages bestehend. Aussage „interne Komponenten werden unabhängig mit-deployed"" ist technisch nicht haltbar.",Must,h,Jeden Bounded Context als eigenständigen Container; per-service CI/CD-Pipeline; schrittweise Zerlegung des Monolithen (z.B. Strangler Fig).,Container per Service,"Hängt von #7 (Wrong Cut) ab — erst fachlicher Schnitt, dann Deployment-Schnitt.",ja,"analysis/docker-compose.yml (ein build-Block je Service, restart: on-failure); Einschränkung gemeinsames Image, siehe TS-1"
,4,Horizontal Scalability,Replikate je Service über Service Registry / Load Balancer erreichbar.,"Nicht erfüllt. Nur die gesamte VM lässt sich replizieren. Individuelle Skalierung von Shipping (saisonale Last im Sommer) und Analyse-Komponente wurde explizit mit „technisch nicht möglich"" abgelehnt.",Must,m,Container-Orchestrierung (z.B. Kubernetes); Autoscaling-Regeln pro Service; stateless Services; Load Balancer.,kein Pattern im PoC,Hängt von #1 und #3. Relevant für Statement 3 sowie konkret für Shipping und Analyse.,nein,"analysis/apps/coordinator/src/service/AnalysisService.ts (In-Memory-Projektion), siehe TS-4"
,5,Isolation of failures,"Circuit Breaker einsetzen, damit Ausfälle nicht kaskadieren.","Vorhanden. Analyse-Komponente blockiert wegen enger interner Kopplung die komplette Manufacturing-Komponente, sobald sie langsam reagiert. Kein Circuit Breaker, kein Bulkhead.",Must,g,Circuit Breaker pro Remote-Aufruf (z.B. Resilience4j); Fallback-Logik definieren; Bulkhead-Thread-Pools; Monitoring der CB-Zustände.,Circuit Breaker (Nygard),Relevant für Statement 5 (Analyse-Komponente). Kombiniert mit #17 (Timeouts).,ja,analysis/libs/shared/src/circuit-breaker/CircuitBreaker.ts; Einsatz in analysis/apps/*/src/client/*.ts und ClusterGateway.ts
,6,Decentralization,Business-Logik auf die Services verteilen; keinen zentralen ESB oder Hub als Vermittler.,"Vorhanden. GP-API agiert als zentraler Hub: aggregiert UIs serverseitig (UI-Frame), ruft alle internen Komponenten auf, bedient alle Channels gleichzeitig. Zusätzlich zentrale DB → doppelte Zentralisierung (API + Daten).",Must,h,Business-Logik aus GP-API in fachliche Services verschieben; UI-Aggregation vom Server auf den Client verlagern; keinen zentralen Hub mehr.,Choreografie,"Folgewirkung aus #2 + #7 + #16, keine isolierte Einzelmaßnahme.",ja,"analysis/apps/coordinator/src/gateway/ClusterGateway.ts (startFluids startet nur den Anker), ADR-001"
,7,Wrong Cut,Präzise Analyse der Geschäftsprozesse; Schnitt nach Business Capabilities statt nach technischen Schichten.,"Vorhanden. Der zentrale „Microservice"" kapselt explizit den business layer — laut Dokument „technischer Schnitt"". Die Architektur folgt der dreischichtigen Aufteilung Presentation/Application/Data Management.",Must,h,DDD Strategic Design durchführen; Bounded Contexts nach Business Capabilities; Conway-Konsequenz: Cross-functional Feature-Teams statt Schicht-/Komponenten-Teams.,kein Pattern im PoC,"Relevant für Statement 1. Grundlage für #3, #6, #10.",ja,"analysis/libs/shared/src/enums/Cluster.ts (Schnitt nach Equipment-Gruppen Fluids, Drivetrain, Mechanical, EMS)"
,8,Cyclic Dependency,Zyklus durch Refactoring auflösen; API Gateway einsetzen.,"Aus der Baustein-Sicht nicht eindeutig belegbar. Bei der engen Kopplung über GP-API und zentrale DB plausibel, aber keine konkreten Aufrufzyklen dokumentiert. Einschätzung: zu prüfen, nicht bestätigt.",Should,g,"Code-Audit in der Implementierungsphase; falls vorhanden, Refactoring oder Event-driven Kommunikation zur Auflösung.",kein Pattern im PoC,Noch zu verifizieren bei detaillierter Analyse der internen Aufrufe.,ja,analysis/apps/fluids/src/service/FluidsService.ts → Drivetrain/Mechanical → EMS (Aufrufgraph ist ein DAG)
,9,Nano Service,Granularität auf eine Business Capability pro Service ausrichten — nicht feiner.,"Vorhanden. Purchase Merchandise umfasst 167 Business-Methoden, jede als eigener Microservice über das Netzwerk (Folie 10). Klassisches Lehrbuchbeispiel.",Must,h,Purchase Merchandise zu einem Service mit interner Modularisierung konsolidieren statt 167 Netzwerk-Endpunkten; Reduktion von Kommunikations-Overhead und Latenz.,kein Pattern im PoC,"Konkret: Komponente „Purchase Merchandise"".",ja,analysis/libs/shared/src/enums/Equipment.ts (elf Equipments in vier Clustern)
,10,Mega Service,Pro Service genau eine Business Capability.,"Vorhanden. Die zentrale VM bündelt Manufacturing, Controlling/BI, Purchasing, Shipping, Managing Customers und Billing in einem Deployment-Artefakt. Zusätzlich Analyse-Komponente intern als Mini-Mega-Service (eine Klasse für alle Optional-Equipment-Algorithmen).",Must,h,Zentrale VM in mehrere Services je Capability zerlegen; Analyse-Komponente als eigenständigen Service mit choreographierten Algorithmen je Optional Equipment; schrittweise Migration.,kein Pattern im PoC,"Hängt von #7. Betrifft den zentralen „Microservice"" und intern die Analyse-Klasse.",ja,"analysis/apps/{fluids,drivetrain,mechanical,ems}/src/service/*Service.ts"
,11,Shared Libraries,"Keine direkten Code- oder Library-Abhängigkeiten zwischen Services; wenn nötig, klar abgegrenzte API.","Vorhanden. Zentrales GitHub-Repository für „Shared Libraries"", das alle Microservices nutzen sollen (Folie 4). Vom Team als Vorteil dargestellt, erzeugt aber Code-Kopplung und untergräbt Service-Unabhängigkeit.",Should,g,Gemeinsames Repo nur für stabile technische Querschnittsbibliotheken (z.B. Logging-Adapter); kein Sharing von Domain-Code; lieber Duplikation als Kopplung.,kein Pattern im PoC,Verknüpft mit Statement 7 (CI/CD-Selbstbild).,nein,"analysis/libs/shared/src/ (Domänen-Enums, DTOs, Messages geteilt), siehe TS-1"
,12,Too many standards,Begrenzte Menge an standardisierten Protokollen und Technologien festlegen.,"Vorhanden. Kommunikation läuft parallel über REST, XML-RPC und MQ-basierte Endpunkte — drei Protokollwelten für dieselbe Aufgabe.",Could,m,REST als Standard für synchrone Kommunikation; Messaging (z.B. Kafka/RabbitMQ) gezielt für asynchron; XML-RPC ablösen; pragmatisch über mehrere Releases migrieren.,"Standardisierung auf REST, Kafka, SSE","Architektur funktioniert auch ohne Lösung, aber Wartungsaufwand steigt.",ja,"analysis/libs/shared/src/kafka/KafkaTopics.ts, analysis/apps/coordinator/src/controller/AnalysisController.ts (REST + SSE), ADR-002"
,13,Too new technology,"Reife, etablierte Technologien wählen; neue Technologien erst nach Bewertung einsetzen.","Vorhanden. Purchase Merchandise nutzt „experimentelle"" Software mit „immer neuester und unterschiedlicher OS-Software"" — im produktiven Kundenkontakt.",Should,m,Tech-Radar / Governance-Prozess; Purchase Merchandise auf stabile Basis migrieren; experimentelle OS-Komponenten isolieren.,kein Pattern im PoC,Relevant für Statement 2 (KI-Hype) und Statement 7.,ja,"analysis/package.json (NestJS 11, opossum 10), analysis/docker-compose.yml (apache/kafka:3.9.1, postgres:16)"
,14,Manual Anti-Pattern,Automatisierung wo möglich; statt einzelner Konfigurationsdateien einen Configuration Server.,"Vorhanden. Final Deployment ist manuell. Order-Fulfillment läuft manuell über heterogene UIs. Kein Configuration Server, keine Quality-Checks.",Must,m,Configuration Server (z.B. Spring Cloud Config); automatisiertes Deployment; Orchestrator/Saga für Order Fulfillment; einheitliches Frontend statt UI-Frame.,Konfiguration über Environment-Variablen,Relevant für Statement 8. Überlappt mit #15.,teilweise,"analysis/docker-compose.yml (environment-Blöcke, kein Config-Server); Deployment per docker compose up"
,15,No CI / CD,Continuous Delivery Pipeline pro Service als Teil einer DevOps-Integration.,"Vorhanden. Was als „moderne CI/CD-Lösung"" bezeichnet wird, ist faktisch nur ein GitHub-Repository für Shared Libraries plus manuelles Deployment ohne Quality-Checks. Das ist Versionskontrolle, keine Pipeline.",Must,m,"Per-Service Pipeline (Build, Test, Deploy); Quality Gates; automatisches Deployment statt manuell; SEPP/GitLab CI als Plattform nutzbar.",kein Pattern im PoC,Relevant für Statement 7 (Selbstbild widerlegen).,nein,"kein CI-Workflow im Repository, siehe TS-7"
,16,No API Gateway,"API Gateway als zentralen, gut geschnittenen Einstiegspunkt einsetzen.","Differenziert: GP-API existiert nominell als Gateway, ist aber als „God-API"" realisiert (serverseitige UI-Aggregation, Business-Logik, alle Channels iPhone/Desktop/Web/Data Analyst ohne BFF). Gateway formal vorhanden, faktisch als Anti-Pattern realisiert.",Must,m,"Echtes API Gateway + Backend-for-Frontend pro Channel (Mobile-BFF, Web-BFF, Desktop-BFF, Analyst-BFF); UI-Aggregation auf den Client verlagern; zentralisierte AuthN/AuthZ am Gateway.",kein Pattern im PoC,Relevant für Statement 4 (GP-API-Klage). Folgt Newman BFF.,nein,"analysis-ui/src/api.ts (UI ruft localhost:3000 und localhost:3001 direkt), siehe TS-2"
,17,Timeouts,Sinnvoll dimensionierte Timeouts in der Service-Kommunikation festlegen.,"Vorhanden. Wörtlich: „Über einen Timeout-Mechanismus hat man nachgedacht, diesen aber generell in der Architektur als nicht relevant angesehen."" Folge: hängende Aufrufe an die Analyse-Komponente blockieren Manufacturing.",Must,g,Sinnvolle Timeouts je Aufruf-Typ (P95-basiert); kombiniert mit Circuit Breaker und Retry.,Timeout (Nygard),Kombiniert mit #5. Konkret Aufrufe an die Analyse-Komponente.,ja,analysis/libs/shared/src/circuit-breaker/CircuitBreaker.ts (timeout: 5_000)
,18,No API Version,Versionsnummer in Request-URL oder im HTTP-Header.,"Vorhanden. Wörtlich: „eine Versionierung gibt es nicht.""",Should,g,Version im URL-Pfad (z.B. /v1/products) oder HTTP-Header; Deprecation-Policy definieren.,kein Pattern im PoC,Voraussetzung für unabhängige Service-Evolution.,nein,"analysis/apps/*/src/controller/*.ts (kein Versionspräfix), siehe TS-7"
,19,No Health Checks,"Health-Check-Endpoint pro Service, der periodisch den Status prüft.","Vorhanden. Health-Checks werden nirgends erwähnt. Die Monitoring-Komponente ist in der Baustein-Sicht nur als „wünschenswert"" markiert — existiert also nicht. Zustand der Analyse-Komponente ist nur retrospektiv aus dem Log-File ablesbar.",Must,g,Liveness- und Readiness-Endpoints pro Service (z.B. Spring Boot Actuator); Monitoring-Komponente konsumiert diese Endpoints.,Health-Check-Endpunkt,Voraussetzung für Auto-Healing in Kubernetes.,ja,analysis/libs/shared/src/health/HealthController.ts; healthcheck je Service in analysis/docker-compose.yml
,20,Local Logging,Zentraler Logging-Dienst (z.B. Elasticsearch); distributed logging.,"Vorhanden. Wörtlich zur Analyse-Komponente: „Mögliche Gründe für einen Stillstand kann man später in einem lokalen Log-File ablesen."" Kein zentrales Logging.",Must,m,Zentraler Logging-Stack (z.B. Elasticsearch/Loki + Fluentd + Kibana/Grafana); strukturierte Logs (JSON); Correlation-IDs für Distributed Tracing.,kein Pattern im PoC,Relevant für Statement 5 (Analyse-Debug). Basis für Distributed Tracing.,nein,"stdout je Container (docker compose logs), siehe TS-3"
,21,Insufficient Monitoring,"Globales Monitoring-Tool einführen, das Zustand und Performance aller Services zentral erfasst (Monitoring Anti-pattern, Abschnitt IV.B.4).",Vorhanden. Die Monitoring-Komponente ist in der Baustein-Sicht nur als „wünschenswert“ markiert; der Zustand der Analyse-Komponente ist nur retrospektiv aus dem lokalen Log-File ablesbar. Kein Monitoring-Tool im IST.,Must,m,Metriken- und Health-Endpunkte je Service; zentrales Monitoring (z.B. Prometheus/Grafana) konsumiert diese; Alerting auf Ausfall eines Clusters.,kein Pattern im PoC,Der Ingenieur fordert Monitoring ausdrücklich (Case Study Folie 12). Verknüpft mit #19 und #20.,nein,"kein Monitoring-Tool im PoC, nur GET /health je Service; siehe TS-3 in docs/arc42.md §11"
